SX5E Index,,TPX Index,,UKX Index,,IBEX Index,,SPX Index,,LBEATREU Index,,AEX Index,,INGEHIH LX Equity,,INGGOPC LX Equity,,INGEHYC LX Equity,,SGEURSE LX Equity,,SGIDXIW LX Equity,
41610,3077.23,41600,1248.57,41606,6654.47,41607,9837.6,41607,1805.81,41606,214.0968,41607,396.55,41610,7468.15,41606,310.54,41607,416.37,41606,1038.37598,41471,1245.29
41607,3086.64,41599,1246.31,41605,6649.47,41606,9859.8,41605,1807.23,41605,214.1086,41606,396.75,41607,7466.91,41605,310.92,41606,416.76,41605,1034.81799,41470,1249.95
41606,3092.42,41598,1233.43,41604,6636.22,41605,9808.4,41604,1802.75,41604,214.2179,41605,396.22,41606,7463.47,41604,310.68,41605,414.87,41604,1028.67297,41467,1248.08
41605,3082.65,41597,1236.86,41603,6694.62,41604,9714.6,41603,1802.48,41603,213.9571,41604,394.11,41605,7452.19,41603,312.96,41604,411.79,41603,1031.89404,41466,1244.32
41604,3062.62,41596,1241.67,41600,6674.3,41603,9689.1,41600,1804.76,41600,213.7357,41603,397.46,41604,7445.37,41600,312.33,41603,412.99,41600,1026.43604,41465,1228.04
41603,3072.75,41593,1239.04,41599,6681.33,41600,9677.4,41599,1795.85,41599,213.7207,41600,395.8,41603,7445.58,41599,313.09,41600,410.75,41599,1022.94299,41464,1227.93
41600,3055.98,41592,1218.55,41598,6681.08,41599,9599.3,41598,1781.37,41598,213.836,41599,395.33,41600,7440.43,41598,313.76,41599,410.38,41598,1023.66699,41463,1219
41599,3044.34,41591,1204.19,41597,6698.01,41598,9559.5,41597,1787.87,41597,213.7635,41598,396.54,41599,7437.93,41597,313.37,41598,409.7,41597,1024.91504,41460,1212.55
41598,3047.32,41590,1205.41,41596,6723.46,41597,9629.8,41596,1791.53,41596,214.0137,41597,395.48,41598,7501.38,41596,314.9,41597,410.4,41596,1033.76099,41457,1198.88
41597,3049.17,41589,1185.65,41593,6693.44,41596,9783.1,41593,1798.18,41593,213.7585,41596,396.98,41597,7430.36,41593,314.71,41596,413.76,41593,1026.23303,41456,1199.36
41596,3081.3,41586,1176.42,41592,6666.13,41593,9695.9,41592,1790.62,41592,213.8282,41593,395.34,41596,7428.34,41592,313.16,41593,410.51,41592,1025.32202,41453,1192.89
41593,3054.53,41585,1184.73,41591,6630,41592,9708.7,41591,1782,41591,213.462,41592,394.87,41593,7422.33,41591,311.5,41592,410.24,41591,1016.47601,41452,1198.01
41592,3053.69,41584,1192.16,41590,6726.79,41591,9675.2,41590,1767.69,41590,213.0776,41591,391.18,41592,7417.86,41590,310.8,41591,407.81,41590,1021.328,41451,1190.57
41591,3021.17,41583,1182.58,41589,6728.37,41590,9707.6,41589,1771.89,41589,213.3378,41590,393.38,41591,7412.36,41589,312.89,41590,409.59,41589,1026.88794,41450,1179.05
41590,3034.68,41579,1183.03,41586,6708.42,41589,9789.5,41586,1770.61,41586,213.2558,41589,395.45,41590,7421.9,41586,313.29,41589,412.19,41586,1020.87201,41449,1167.91
41589,3052.83,41578,1194.26,41585,6697.22,41586,9747.2,41585,1747.15,41585,213.7728,41586,394.07,41589,7422.35,41585,310.74,41586,410.04,41585,1022.716,41446,1182.35
41586,3034.91,41577,1204.5,41584,6741.69,41585,9740.4,41584,1770.49,41584,212.9921,41585,393.22,41586,7412.6,41584,311.49,41585,410.9,41584,1025.77197,41445,1179.51
41585,3042.98,41576,1193.5,41583,6746.84,41584,9837.1,41583,1762.97,41583,213.046,41584,393.97,41585,7462.49,41583,311.85,41584,412.67,41583,1018.086,41444,1210.32
41584,3056.4,41575,1198.36,41582,6763.62,41583,9795.7,41582,1767.93,41582,213.7454,41583,391.25,41584,7411.2,41582,312.9,41583,409.88,41582,1024.24194,41443,1227.29
41583,3035.92,41572,1178.28,41579,6734.74,41582,9873.8,41579,1761.64,41579,213.6272,41582,393.15,41583,7407.9,41579,312.18,41582,411.27,41578,1024.65002,41442,1217.85
41582,3061.18,41571,1203.35,41578,6731.43,41579,9838.3,41578,1756.54,41578,213.533,41579,391.2,41582,7405.74,41578,311.41,41579,409.8,41577,1017.48602,41439,1208.66
41579,3052.14,41570,1195.98,41577,6777.7,41578,9907.9,41577,1763.31,41577,213.1232,41578,391.92,41579,7399.21,41577,310.41,41578,411.01,41576,1018.77399,41438,1215.85
41578,3067.95,41569,1214.44,41576,6774.73,41577,9778.7,41576,1771.95,41576,212.8719,41577,391.2,41578,7392.43,41576,310.11,41577,408.86,41575,1010.62701,41437,1197.97
41577,3040.69,41568,1212.36,41575,6725.82,41576,9863.9,41575,1762.11,41575,212.645,41576,391.13,41577,7389.94,41575,308.96,41576,409.17,41572,1014.34497,41436,1207.88
