Date,SX5E Index,TPX Index,UKX Index,IBEX Index,SPX Index,LBEATREU Index,AEX Index,INGGOPC LX Equity,INGEHYC LX Equity,INGEHIH LX Equity,SGEURSE LX Equity,SGIDXIW LX Equity
41704,3144.53,1228.36,6788.49,10304,1877.03,218.2873,400.06,319.58,431.81,7700.47,1076.64099,1356.46
41703,3135.97,1212.9,6775.42,10215.2,1873.81,218.9514,398.62,320.1,429.93,7690.82,1071.63904,1356.46
41702,3136.33,1204.11,6823.77,10126.7,1873.91,218.794,398.73,319.72,428.11,7682.18,1070.67505,1356.46
41701,3053.99,1196.76,6708.35,9878.7,1845.73,218.7448,388.19,314.15,419.29,7671.68,1044.90906,1356.46
41700,3149.23,1211.66,6809.7,10114.2,1859.45,218.2436,398.54,316.84,430.19,7672.69,1075.41895,1356.46
41699,3149.23,1211.66,6809.7,10114.2,1859.45,218.2436,398.54,316.84,430.19,7672.69,1075.41895,1356.46
41698,3149.23,1211.66,6809.7,10114.2,1859.45,218.2436,398.54,316.84,430.19,7672.69,1075.41895,1356.46
41697,3134.94,1217.35,6810.27,10164.1,1854.29,218.7249,398.28,319.57,430.23,7660.96,1070.34399,1356.46
41696,3148.19,1225.35,6799.15,10224.3,1845.16,218.1873,398.64,318.05,430.31,7656.82,1073.64001,1356.46
41695,3157.48,1233.66,6830.5,10242.5,1845.12,217.7387,400.77,316.77,432,7651.33,1077.427,1356.46
41694,3157.31,1219.07,6865.86,10193.1,1847.61,217.4659,401.76,317.93,431.73,7643.16,1077.02795,1356.46
41693,3131.67,1222.31,6838.06,10071,1836.25,217.5471,400.36,316.51,428.65,7631.91,1069.46802,1356.46
41692,3131.67,1222.31,6838.06,10071,1836.25,217.5471,400.36,316.51,428.65,7631.91,1069.46802,1356.46
41691,3131.67,1222.31,6838.06,10071,1836.25,217.5471,400.36,316.51,428.65,7631.91,1069.46802,1356.46
41690,3121.59,1194.56,6812.99,10062.2,1839.78,217.1687,398.76,316.55,426.34,7619.54,1065.36499,1356.46
41689,3120.8,1218.52,6796.71,10053.8,1828.75,217.6154,401.54,314.78,426.35,7628.18,1066.224,1356.46
41688,3117.44,1224,6796.43,10042.7,1840.76,217.592,401.62,315.87,425.98,7623.85,1065.48206,1356.46
41687,3118.91,1192.05,6736,10118.6,1838.63,217.3457,401.24,314.01,426.33,7619.55,1066.54395,1356.46
41686,3119.06,1183.82,6663.62,10132.8,1838.63,217.1799,398.95,314.01,426.13,7610.44,1065.11902,1356.46
41685,3119.06,1183.82,6663.62,10132.8,1838.63,217.1799,398.95,314.01,426.13,7610.44,1065.11902,1356.46
41684,3119.06,1183.82,6663.62,10132.8,1838.63,217.1799,398.95,314.01,426.13,7610.44,1065.11902,1356.46
41683,3097.95,1199.74,6659.42,10098.9,1829.83,217.1611,397,313.33,423.86,7606.75,1058.22998,1356.46
41682,3094.89,1219.6,6675.03,10080.8,1819.26,216.8027,397.42,313.83,424.04,7607.22,1056.73096,1356.46
